gene_id	colors
AKIRIN1	grey
AKIRIN2	grey
AKNA	grey
AKR1A1	grey
AKR1B1	grey
AKR1C1	grey
AKR1C2	grey
AKR1C3	grey
AKR1C4	grey
AKR1D1	grey
AKR1E2	grey
AKR7A2	grey
AKR7A2P1	grey
AKR7A3	grey
AKR7L	grey
AKT1	grey
AKT1S1	grey
AKT2	grey
AKT3	grey
AKTIP	grey
ALAD	grey
ALAS1	grey
ALAS2	grey
ALB	grey
ALCAM	grey
ALDH16A1	grey
ALDH18A1	grey
ALDH1A1	grey
ALDH1B1	grey
ALDH1L2	grey
ALDH2	grey
ALDH3A2	grey
ALDH3B1	grey
ALDH4A1	grey
ALDH5A1	grey
ALDH6A1	grey
ALDH7A1	grey
ALDH8A1	grey
ALDH9A1	grey
ALDOA	grey
ALDOB	grey
ALDOC	grey
ALG1	grey
ALG10	grey
ALG10B	grey
ALG11	grey
ALG12	grey
ALG13	blue
ALG14	grey
ALG1L	grey
ALG1L2	grey
ALG2	grey
ALG3	grey
ALG5	grey
ALG6	grey
ALG8	grey
ALG9	grey
ALK	grey
ALKBH1	grey
ALKBH2	grey
ALKBH3	grey
ALKBH4	grey
ALKBH5	grey
ALKBH6	grey
ALKBH7	grey
ALKBH8	grey
ALMS1	grey
ALOX12	grey
ALOX12B	grey
ALOX12P2	grey
ALOX15	grey
ALOX15P1	grey
ALOX5AP	grey
ALOXE3	grey
ALPK1	grey
ALPK2	grey
ALPK3	grey
ALS2	grey
ALS2CL	grey
ALX4	grey
ALYREF	grey
AMACR	grey
AMBRA1	grey
AMD1	grey
AMDHD1	grey
AMDHD2	grey
AMFR	grey
AMH	grey
AMIGO1	grey
AMIGO2	grey
AMMECR1	grey
AMMECR1L	grey
AMN	grey
AMN1	grey
AMOT	grey
AMOTL1	grey
AMOTL2	grey
AMPD2	grey
AMPD3	grey
AMPH	grey
AMT	grey
AMY2B	grey
AMZ1	grey
AMZ2	grey
AMZ2P1	grey
ANAPC1	grey
ANAPC10	grey
ANAPC11	grey
ANAPC13	grey
ANAPC16	grey
ANAPC2	grey
ANAPC4	grey
ANAPC5	grey
ANAPC7	grey
ANG	grey
ANGEL1	grey
ANGEL2	grey
ANGPT1	grey
ANGPT2	grey
ANGPT4	grey
ANGPTL1	grey
ANGPTL3	grey
ANGPTL4	grey
ANGPTL6	grey
ANGPTL7	grey
ANK1	grey
ANK2	grey
ANK3	grey
ANKAR	grey
ANKDD1A	grey
ANKFY1	grey
ANKH	grey
ANKHD1	grey
ANKHD1-EIF4EBP3	grey
ANKIB1	grey
ANKK1	grey
ANKLE1	grey
ANKLE2	grey
ANKMY1	grey
ANKMY2	grey
ANKRA2	grey
ANKRD10	grey
ANKRD11	grey
ANKRD12	brown
ANKRD13A	grey
ANKRD13B	grey
ANKRD13C	grey
ANKRD13D	grey
ANKRD16	grey
ANKRD17	grey
ANKRD18A	grey
ANKRD18B	grey
ANKRD19P	grey
ANKRD20A11P	grey
ANKRD20A5P	grey
ANKRD20A8P	grey
ANKRD22	grey
ANKRD23	grey
ANKRD24	grey
ANKRD26	grey
ANKRD26P1	grey
ANKRD26P3	grey
ANKRD27	grey
ANKRD28	grey
ANKRD29	grey
ANKRD31	grey
ANKRD33B	grey
ANKRD34A	grey
ANKRD35	grey
ANKRD36	grey
ANKRD36B	grey
ANKRD36BP2	grey
ANKRD37	turquoise
ANKRD39	grey
ANKRD40	grey
ANKRD42	grey
ANKRD44	grey
ANKRD45	grey
ANKRD46	grey
ANKRD49	grey
ANKRD50	grey
ANKRD52	grey
ANKRD53	grey
ANKRD54	grey
ANKRD55	grey
ANKRD6	grey
ANKRD65	grey
ANKRD7	grey
ANKRD9	grey
ANKS1A	grey
ANKS1B	grey
ANKS3	grey
ANKS4B	grey
ANKS6	grey
ANKZF1	grey
ANLN	grey
ANO10	grey
ANO5	grey
ANO6	grey
ANO7	grey
ANO8	grey
ANO9	grey
ANP32A	grey
ANP32AP1	grey
ANP32B	grey
ANP32E	grey
ANPEP	grey
ANTXR2	grey
ANXA1	grey
ANXA10	grey
ANXA11	grey
ANXA2	grey
ANXA2P1	grey
ANXA2P2	grey
ANXA3	grey
ANXA4	grey
ANXA5	grey
ANXA6	grey
ANXA7	grey
ANXA9	grey
AOAH	grey
AOC2	grey
AOC3	grey
AP1AR	grey
AP1B1	grey
AP1G1	brown
AP1G2	grey
AP1M1	grey
AP1S1	grey
AP1S2	grey
AP1S3	grey
AP2A1	grey
AP2A2	grey
AP2B1	grey
AP2M1	grey
AP2S1	grey
AP3B1	grey
AP3B2	grey
AP3D1	grey
AP3M1	grey
AP3M2	grey
AP3S1	grey
AP3S2	grey
AP4B1	grey
AP4E1	grey
AP4M1	grey
AP4S1	grey
AP5B1	grey
APAF1	grey
APBA1	grey
APBA2	grey
APBA3	grey
APBB1	grey
APBB1IP	grey
APBB2	grey
APBB3	grey
APC	grey
APC2	grey
APCDD1L	grey
APEH	blue
APEX1	grey
APEX2	grey
APH1A	grey
APH1B	grey
API5	grey
APIP	grey
APLF	grey
APLP1	grey
APLP2	grey
APOA1	grey
APOBEC2	grey
APOBEC3A	grey
APOBEC3B	grey
APOBEC3C	grey
APOBEC3D	grey
APOBEC3F	grey
APOBEC3G	grey
APOBEC3H	grey
APOBEC4	grey
APOBR	grey
APOE	grey
APOF	grey
APOL1	grey
APOL2	grey
APOL3	grey
APOL4	grey
APOL6	grey
APOLD1	grey
APOO	grey
APOOL	grey
APP	grey
APPBP2	grey
APPL1	grey
APPL2	grey
APRT	grey
APTX	grey
AQP1	grey
AQP11	grey
AQP3	grey
AQP6	grey
AQP7	grey
AQP7P1	grey
AQP8	grey
AQP9	grey
AQR	grey
AR	grey
ARAF	grey
ARAP1	grey
ARAP2	brown
ARAP3	grey
ARC	grey
ARCN1	grey
AREG	turquoise
ARF1	grey
ARF3	grey
ARF4	grey
ARF5	grey
ARF6	grey
ARFGAP1	grey
ARFGAP2	grey
ARFGAP3	grey
ARFGEF1	brown
ARFGEF2	grey
ARFIP1	grey
ARFIP2	grey
ARFRP1	blue
ARG1	grey
ARG2	grey
ARGFX	grey
ARGFXP2	grey
ARGLU1	grey
ARHGAP1	grey
ARHGAP10	grey
ARHGAP12	grey
ARHGAP15	grey
ARHGAP17	grey
ARHGAP18	grey
ARHGAP19	grey
ARHGAP20	grey
ARHGAP21	grey
ARHGAP22	grey
ARHGAP24	grey
ARHGAP25	grey
ARHGAP26	grey
ARHGAP27	grey
ARHGAP30	blue
ARHGAP31	grey
ARHGAP32	grey
ARHGAP33	grey
ARHGAP35	grey
ARHGAP39	grey
ARHGAP4	grey
ARHGAP44	grey
ARHGAP5	grey
ARHGAP5-AS1	grey
ARHGAP6	grey
ARHGAP9	grey
ARHGDIA	grey
ARHGDIB	grey
ARHGEF1	grey
ARHGEF10L	grey
ARHGEF11	grey
ARHGEF12	grey
ARHGEF16	grey
ARHGEF17	grey
ARHGEF18	grey
ARHGEF19	grey
ARHGEF2	grey
ARHGEF25	grey
ARHGEF26-AS1	grey
ARHGEF3	grey
ARHGEF33	grey
ARHGEF35	grey
ARHGEF37	grey
ARHGEF38	grey
ARHGEF4	grey
ARHGEF40	grey
ARHGEF5	grey
ARHGEF6	grey
ARHGEF7	grey
ARHGEF9	grey
ARID1A	grey
ARID1B	grey
ARID2	brown
ARID3A	grey
ARID3B	grey
ARID3C	grey
ARID4A	brown
ARID4B	brown
ARID5A	turquoise
ARID5B	grey
ARIH1	grey
ARIH2	grey
ARL1	grey
ARL10	grey
ARL11	grey
ARL13A	grey
ARL13B	grey
ARL15	grey
ARL16	grey
ARL17A	grey
ARL2	grey
ARL2BP	grey
ARL3	grey
ARL4A	grey
ARL4C	turquoise
ARL4D	grey
ARL5A	grey
ARL5B	turquoise
ARL6	grey
ARL6IP1	grey
ARL6IP4	grey
ARL6IP5	turquoise
ARL6IP6	grey
ARL8A	grey
ARL8B	grey
ARL9	grey
ARMC1	grey
ARMC10	grey
ARMC12	grey
ARMC2	grey
ARMC5	grey
ARMC6	grey
ARMC7	grey
ARMC8	grey
ARMC9	grey
ARMCX1	grey
ARMCX2	grey
ARMCX3	grey
ARMCX4	grey
ARMCX5	grey
ARMCX5-GPRASP2	grey
ARMCX6	grey
ARNT	grey
ARNTL	grey
ARNTL2	grey
ARPC1A	grey
ARPC1B	grey
ARPC2	grey
ARPC3	grey
ARPC4	grey
ARPC5	grey
ARPC5L	grey
ARPP19	grey
ARR3	grey
ARRB1	grey
ARRB2	grey
ARRDC1	grey
ARRDC2	turquoise
ARRDC3	grey
ARRDC4	grey
ARRDC5	grey
ARSA	grey
ARSB	grey
ARSD	grey
ARSG	grey
ARSJ	grey
ARSK	grey
ART3	grey
ART4	grey
ARTN	grey
ARV1	grey
ARVCF	grey
ASAH1	grey
ASAH2	grey
ASAH2B	grey
ASAP1	grey
ASAP2	grey
ASAP3	grey
ASB1	grey
ASB12	grey
ASB13	grey
ASB14	grey
ASB15	grey
ASB16	grey
ASB3	grey
ASB6	grey
ASB7	grey
ASB8	grey
ASB9	grey
ASCC1	grey
ASCC2	grey
ASCC3	grey
ASCL1	grey
ASCL2	grey
ASF1A	grey
ASF1B	grey
ASGR1	grey
ASGR2	grey
ASH1L	brown
ASH2L	grey
ASL	grey
ASNS	grey
ASNSD1	grey
ASPDH	grey
ASPH	grey
ASPHD1	grey
ASPHD2	grey
ASPM	grey
ASPN	grey
ASPSCR1	grey
ASRGL1	grey
ASS1	grey
ASTE1	grey
ASTL	grey
ASTN2	grey
ASXL1	grey
ASXL2	grey
ASZ1	grey
ATAD1	grey
ATAD2	grey
ATAD2B	brown
ATAD3A	grey
ATAD3B	grey
ATAD3C	grey
ATAD5	grey
ATCAY	grey
ATE1	grey
ATF1	grey
ATF2	grey
ATF3	grey
ATF4	grey
ATF5	grey
ATF6	grey
ATF6B	grey
ATF7	grey
ATF7IP	grey
ATF7IP2	grey
ATG10	grey
ATG12	grey
ATG13	grey
ATG14	grey
ATG16L1	turquoise
ATG16L2	grey
ATG2A	turquoise
ATG2B	grey
ATG3	grey
ATG4A	grey
ATG4B	grey
ATG4C	turquoise
ATG4D	yellow
ATG5	grey
ATG7	grey
ATG9A	grey
ATG9B	grey
ATIC	grey
ATL1	grey
ATL2	grey
ATL3	grey
ATM	brown
ATMIN	grey
ATN1	grey
ATOX1	grey
ATP10A	grey
ATP10B	grey
ATP10D	grey
ATP11A	grey
ATP11B	grey
ATP11C	grey
ATP12A	grey
ATP13A1	grey
ATP13A2	grey
ATP13A3	grey
ATP13A4	grey
ATP13A5	grey
ATP1A1	grey
ATP1A2	grey
ATP1A3	grey
ATP1A4	grey
ATP1B1	grey
ATP1B2	grey
ATP1B3	grey
ATP1B4	grey
ATP2A1	grey
ATP2A2	grey
ATP2A3	yellow
ATP2B1	grey
ATP2B2	grey
ATP2B3	grey
ATP2B4	grey
ATP2C1	grey
ATP2C2	grey
ATP4A	grey
ATP6AP1	grey
ATP6AP1L	grey
ATP6AP2	grey
ATP6V0A1	grey
ATP6V0A2	grey
ATP6V0A4	grey
ATP6V0B	grey
ATP6V0C	grey
ATP6V0CP3	grey
ATP6V0D1	grey
ATP6V0E1	turquoise
ATP6V0E2	grey
ATP6V1A	grey
ATP6V1B2	grey
ATP6V1C1	grey
ATP6V1C2	grey
ATP6V1D	grey
ATP6V1E1	grey
ATP6V1E2	grey
ATP6V1F	grey
ATP6V1G1	grey
ATP6V1H	grey
ATP7A	grey
ATP7B	grey
ATP8A1	grey
ATP8A2	grey
ATP8B1	grey
ATP8B2	grey
ATP8B3	grey
ATP8B4	grey
ATP8B5P	grey
ATP9A	grey
ATP9B	grey
ATPAF1	yellow
ATPAF2	grey
ATR	brown
ATRIP	grey
ATRN	yellow
ATRNL1	grey
ATRX	brown
ATXN1	grey
ATXN10	grey
ATXN1L	grey
ATXN2	grey
ATXN2L	yellow
ATXN3	grey
ATXN7	grey
ATXN7L1	grey
ATXN7L2	grey
ATXN7L3	grey
ATXN7L3B	grey
AUH	grey
AUP1	grey
AURKA	grey
AURKAIP1	grey
AURKB	grey
AURKC	grey
AUTS2	grey
AVEN	grey
AVIL	grey
AVL9	grey
AVPI1	turquoise
AVPR2	grey
AWAT1	grey
AXDND1	grey
AXIN1	grey
AXIN2	grey
AXL	grey
AZI2	grey
AZIN1	grey
B2M	grey
B3GALNT1	grey
B3GALNT2	grey
B3GALT1	grey
B3GALT2	grey
B3GALT6	grey
B3GAT1	grey
B3GAT3	yellow
B3GNT2	grey
B3GNT3	grey
B3GNT4	grey
B3GNT5	grey
B3GNT7	grey
B3GNT8	grey
B3GNT9	yellow
B3GNTL1	grey
B4GALNT3	grey
B4GALNT4	grey
B4GALT1	grey
B4GALT2	grey
B4GALT3	grey
B4GALT4	grey
B4GALT5	grey
B4GALT6	grey
B4GALT7	grey
B9D1	grey
B9D2	grey
BAALC	grey
BABAM1	grey
BACE1	grey
BACE1-AS	grey
BACE2	grey
BACH1	blue
BACH2	grey
BAD	grey
BAG1	grey
BAG2	grey
BAG3	grey
BAG4	grey
BAG5	grey
BAG6	grey
BAHD1	grey
BAIAP2	grey
BAIAP2L1	grey
BAIAP2L2	grey
BAIAP3	grey
BAK1	grey
BAMBI	grey
BANF1	blue
BANK1	grey
BANP	grey
BAP1	grey
BARD1	grey
BARX2	grey
BASP1	grey
BATF	grey
BATF3	grey
BAX	grey
BAZ1A	grey
BAZ1B	grey
BAZ2A	grey
BAZ2B	brown
BBC3	grey
BBIP1	grey
BBS1	grey
BBS10	grey
BBS12	grey
BBS2	grey
BBS4	grey
BBS5	grey
BBS7	grey
BBS9	grey
BBX	grey
BCAP29	grey
BCAP31	grey
BCAR1	grey
BCAR3	grey
BCAS1	grey
BCAS2	blue
BCAS3	grey
BCAS4	grey
BCAT1	grey
BCAT2	grey
BCCIP	grey
BCDIN3D	grey
BCKDHA	grey
BCKDHB	grey
BCKDK	grey
BCL10	grey
BCL11A	grey
BCL11B	grey
BCL2	grey
BCL2A1	grey
BCL2L1	grey
BCL2L10	grey
BCL2L11	grey
BCL2L12	grey
BCL2L13	grey
BCL2L14	grey
BCL2L15	grey
BCL2L2	grey
BCL3	turquoise
BCL6	turquoise
BCL7A	grey
BCL7B	yellow
BCL7C	grey
BCL9	grey
BCL9L	grey
BCLAF1	brown
BCO2	grey
BCOR	grey
BCORL1	grey
BCORP1	grey
BCR	grey
BCS1L	grey
BDH1	grey
BDH2	grey
BDNF	grey
BEAN1	grey
BECN1	grey
BEGAIN	grey
BEND2	grey
BEND3	grey
BEND4	grey
BEND5	grey
BEST1	grey
BEST4	grey
BET1	grey
BET1L	grey
BEX1	grey
BEX2	grey
BEX4	grey
BEX5	grey
BFAR	grey
BFSP1	grey
BFSP2	grey
BHLHE40	turquoise
BHLHE41	grey
BICD1	grey
BICD2	grey
BID	grey
BIK	grey
BIN1	grey
BIN2	grey
BIN3	grey
BIRC2	blue
BIRC3	grey
BIRC5	grey
BIRC6	brown
BIVM	grey
BLCAP	grey
BLK	grey
BLM	grey
BLMH	grey
BLNK	grey
BLOC1S1	grey
BLOC1S2	grey
BLOC1S3	grey
BLVRA	grey
BLVRB	grey
BLZF1	grey
BMF	grey
BMI1	grey
BMP1	grey
BMP10	grey
BMP2K	grey
BMP3	grey
BMP4	grey
BMP6	grey
BMP7	grey
BMP8A	grey
BMP8B	grey
BMPER	grey
BMPR1A	grey
BMPR2	grey
BMS1	grey
BMS1P4	grey
BNC2	grey
BNIP1	grey
BNIP2	grey
BNIP3	grey
BNIP3L	grey
BNIPL	grey
BOC	grey
BOD1	grey
BOK	grey
BOLA1	grey
BOLA3	grey
BOLA3-AS1	grey
BOLL	grey
BOP1	grey
BORA	grey
BPGM	grey
BPHL	grey
BPNT1	grey
BPTF	brown
BRAF	grey
BRAP	grey
BRAT1	grey
BRCA1	grey
BRCA2	grey
BRCC3	grey
BRD1	turquoise
BRD2	grey
BRD3	grey
BRD4	grey
BRD7	grey
BRD7P3	grey
BRD8	grey
BRD9	grey
BRF1	grey
BRF2	grey
BRI3	grey
BRI3BP	grey
BRIP1	grey
BRIX1	grey
BRK1	grey
BRMS1	grey
BRMS1L	grey
BROX	grey
BRPF1	grey
BRPF3	grey
BRSK1	grey
BRSK2	grey
BRWD1	brown
BRWD3	brown
BSCL2	grey
BSDC1	grey
BSG	grey
BSN	grey
BSND	grey
BSPRY	grey
BST1	grey
BST2	grey
BTAF1	brown
BTBD1	grey
BTBD10	grey
BTBD11	grey
BTBD16	grey
BTBD18	grey
BTBD19	grey
BTBD2	grey
BTBD3	grey
BTBD6	grey
BTBD7	grey
BTBD8	grey
BTBD9	grey
BTD	grey
BTF3	grey
BTF3L4	grey
BTG1	turquoise
BTG2	turquoise
BTG3	turquoise
BTK	grey
BTLA	grey
BTN1A1	grey
BTN2A1	grey
BTN2A2	grey
BTN2A3P	grey
BTN3A1	grey
BTN3A2	grey
BTN3A3	grey
BTRC	grey
BUB1	grey
BUB1B	grey
BUB3	grey
BUD13	grey
BUD31	grey
BVES	grey
BYSL	grey
BZW1	blue
BZW2	grey
C10orf105	grey
C10orf67	grey
C10orf88	grey
C11orf1	grey
C11orf16	grey
C11orf21	grey
C11orf24	grey
C11orf42	grey
C11orf45	grey
C11orf49	grey
C11orf54	grey
C11orf58	grey
C11orf65	grey
C11orf68	grey
C11orf71	grey
C11orf80	grey
C11orf91	grey
C11orf94	grey
C11orf96	grey
C12orf29	grey
C12orf4	grey
C12orf40	grey
C12orf42	grey
C12orf43	grey
C12orf56	grey
C12orf57	grey
C12orf60	grey
C12orf71	grey
C12orf73	grey
C12orf75	grey
C12orf76	grey
C14orf119	grey
C14orf132	grey
C14orf28	grey
C14orf93	grey
C15orf39	grey
C15orf40	grey
C15orf48	grey
C15orf61	grey
C15orf62	grey
C16orf46	grey
C16orf54	grey
C16orf72	grey
C16orf74	grey
C16orf86	grey
C16orf87	grey
C16orf89	grey
C16orf91	grey
C16orf95	grey
C16orf96	grey
C17orf100	grey
C17orf107	turquoise
C17orf50	grey
C17orf58	grey
C17orf64	grey
C17orf67	grey
C17orf75	grey
C17orf80	grey
C17orf97	grey
C18orf21	grey
C18orf25	grey
C18orf32	grey
C18orf54	grey
C19orf12	grey
C19orf18	grey
C19orf25	blue
C19orf38	grey
C19orf44	grey
C19orf47	grey
C19orf48	grey
C19orf53	grey
C19orf54	grey
C19orf71	grey
C19orf73	grey
C1D	grey
C1GALT1	grey
C1GALT1C1	grey
C1QA	grey
C1QB	grey
C1QBP	grey
C1QL3	grey
C1QTNF1	grey
C1QTNF3	grey
C1QTNF4	grey
C1QTNF6	grey
C1QTNF7	grey
C1QTNF9	grey
C1R	grey
C1RL	grey
C1S	grey
C1orf100	grey
C1orf105	grey
C1orf109	grey
C1orf112	grey
C1orf115	grey
C1orf116	grey
C1orf122	yellow
C1orf127	grey
C1orf131	grey
C1orf141	grey
C1orf146	grey
C1orf159	grey
C1orf162	grey
C1orf174	grey
C1orf189	grey
C1orf194	grey
C1orf198	grey
C1orf21	grey
C1orf210	grey
C1orf216	grey
C1orf220	grey
C1orf226	grey
C1orf35	grey
C1orf43	grey
C1orf50	grey
C1orf52	blue
C1orf53	grey
C1orf54	grey
C1orf56	grey
C1orf74	grey
C20orf144	grey
C20orf202	grey
C20orf27	grey
C20orf96	grey
C21orf58	grey
C21orf91	grey
C21orf91-OT1	grey
C22orf15	grey
C22orf23	grey
C22orf39	grey
C22orf46	grey
C2CD2	grey
C2CD2L	grey
C2CD3	grey
C2CD4A	grey
C2CD4B	grey
C2CD4D	grey
C2orf15	grey
C2orf16	grey
C2orf27A	grey
C2orf42	grey
C2orf49	grey
C2orf50	grey
C2orf66	grey
C2orf68	turquoise
C2orf69	grey
C2orf74	grey
C2orf76	grey
C2orf81	grey
C2orf83	grey
C2orf88	grey
C3	grey
C3AR1	grey
C3orf14	grey
C3orf18	grey
C3orf20	grey
C3orf33	grey
C3orf35	grey
C3orf38	blue
C3orf49	grey
C3orf52	grey
C3orf62	grey
C3orf70	grey
C4BPB	grey
C4orf19	grey
C4orf3	grey
C4orf33	grey
C4orf45	grey
C4orf46	grey
C4orf47	grey
C4orf48	grey
C5	grey
C5AR1	grey
C5orf15	grey
C5orf22	grey
C5orf24	grey
C5orf34	grey
C5orf47	grey
C5orf51	grey
C5orf58	grey
C5orf63	grey
C6orf120	grey
C6orf132	grey
C6orf163	grey
C6orf201	grey
C6orf226	grey
C6orf52	grey
C6orf62	grey
C6orf89	grey
C7orf26	yellow
C7orf31	grey
C7orf50	grey
C7orf57	grey
C7orf61	grey
C8G	grey
C8orf33	grey
C8orf44	grey
C8orf58	grey
C8orf76	grey
C8orf82	grey
C9orf116	grey
C9orf131	grey
C9orf152	grey
C9orf153	grey
C9orf163	grey
C9orf24	grey
C9orf40	grey
C9orf43	grey
C9orf64	grey
C9orf72	brown
C9orf78	grey
C9orf85	grey
CA1	grey
CA11	grey
CA12	grey
CA13	grey
CA14	grey
CA2	grey
CA3	grey
CA5A	grey
CA5B	grey
CA5BP1	grey
CA6	grey
CA7	grey
CA8	grey
CA9	grey
CAB39	grey
CAB39L	grey
CABIN1	grey
CABLES1	grey
CABLES2	grey
CABP4	grey
CABP7	grey
CABYR	grey
CACHD1	grey
CACNA1A	grey
CACNA1B	grey
CACNA1C	grey
CACNA1D	grey
CACNA1F	grey
CACNA1H	grey
CACNA1I	grey
CACNA2D2	grey
CACNA2D3	grey
